Date,Henry_Street,IN,OUT
20/12/2015,48961,24121,24840
21/12/2015,52120,26791,25329
22/12/2015,55885,28303,27582
23/12/2015,62392,30982,31410
24/12/2015,19156,8116,11040
25/12/2015,224,110,114
26/12/2015,24676,13386,11290
27/12/2015,33546,16077,17469
28/12/2015,32270,15040,17230
29/12/2015,,,
30/12/2015,987,334,653
31/12/2015,39224,18593,20631
